#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 4
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-11-29 15:57:49.987 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3a2a0a16-a602-40af-a62c-93a101fb7acb, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-29 15:57:50.007 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:491680f0-fc09-4e19-88c7-fa513d7015cd, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-29 15:57:50.007 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:491680f0-fc09-4e19-88c7-fa513d7015cd, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-29 15:57:50.015 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9c58a005-a193-4489-96a3-fd7d1e8a7e48, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-29 15:57:50.015 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9c58a005-a193-4489-96a3-fd7d1e8a7e48, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-29 15:57:50.025 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:77836714-c645-408e-93df-2fbb5c164f1a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-29 15:57:50.025 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:77836714-c645-408e-93df-2fbb5c164f1a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-29 15:57:50.172 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:80b3a9cd-3883-487e-87a5-17fa444a2bd8, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-29 15:57:50.172 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:80b3a9cd-3883-487e-87a5-17fa444a2bd8, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-29 15:57:50.172 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:221610f7-07e4-4217-aa97-12ed696f0f0f, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-29 15:57:50.172 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:221610f7-07e4-4217-aa97-12ed696f0f0f, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-29 15:57:50.203 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:542d7c5d-1062-444d-b80c-5533daa3e81a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-29 15:57:50.203 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:542d7c5d-1062-444d-b80c-5533daa3e81a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-29 15:57:50.226 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8e3a0be9-185c-4cc3-957c-136134870c78, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
