#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-11-17 19:58:52.686 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:2b60c51e-bdee-4386-ba5f-04362e638ae9, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-17 19:58:52.717 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:48714e8f-01a5-47f5-a2a1-72d7f136f933, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-17 19:58:52.717 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:48714e8f-01a5-47f5-a2a1-72d7f136f933, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-17 19:58:52.732 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f11fb0f5-fa3b-4e5f-87eb-ee59be5ecae2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-17 19:58:52.732 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f11fb0f5-fa3b-4e5f-87eb-ee59be5ecae2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-17 19:58:53.218 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:dcc5a9a8-e9e8-4f2d-8849-72d08a9bb845, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-17 19:58:53.218 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:dcc5a9a8-e9e8-4f2d-8849-72d08a9bb845, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-17 19:58:53.218 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:45a5ba85-8d36-4050-8cd0-af8d348e6a3e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-17 19:58:53.218 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:45a5ba85-8d36-4050-8cd0-af8d348e6a3e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-17 19:58:53.249 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:18a34b95-89f4-4c8f-92fd-39d80ad0f78f, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-17 19:58:53.249 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6622ee16-9b84-4df4-aa17-0396a69f8abe, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
