#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-11-26 19:39:31.567 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:96c14383-5446-4059-9ce6-f015ea208ab2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.567 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:96c14383-5446-4059-9ce6-f015ea208ab2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.570 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:343ce669-521d-494a-8871-3f3723d173bf, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.570 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:343ce669-521d-494a-8871-3f3723d173bf, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.586 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:130ba221-fa3b-4617-b894-634db41fcc86, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.586 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a69483df-2225-4514-81cb-e1a036685451, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.586 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:130ba221-fa3b-4617-b894-634db41fcc86, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.586 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a69483df-2225-4514-81cb-e1a036685451, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.610 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6558a62c-dc88-40a8-bba9-ba57f9236224, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.610 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6558a62c-dc88-40a8-bba9-ba57f9236224, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.758 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:67d562ab-c198-40be-a3cd-80adbcdd1857, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.758 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:67d562ab-c198-40be-a3cd-80adbcdd1857, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.759 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6a055d66-8b00-401c-89f6-99599396091e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.759 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6a055d66-8b00-401c-89f6-99599396091e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.044 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:eceec4b7-890b-4737-8a2d-35f5ac37a96f, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.044 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:eceec4b7-890b-4737-8a2d-35f5ac37a96f, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.044 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c78300d2-233a-4ef6-91fa-61300483a1cf, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.044 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c78300d2-233a-4ef6-91fa-61300483a1cf, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.162 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7ef6f1f5-2ff2-4b70-8acc-6988b9fdc6fd, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.162 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7ef6f1f5-2ff2-4b70-8acc-6988b9fdc6fd, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.162 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:bb36139b-6f2d-48f0-85c5-6cd88a6a5170, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.162 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:bb36139b-6f2d-48f0-85c5-6cd88a6a5170, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.227 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:28b80121-f497-4fb8-8665-8dd366d9b4c2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.227 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:28b80121-f497-4fb8-8665-8dd366d9b4c2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.227 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:844c3c31-a16f-4b9e-9b02-b88c3d5e573c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.227 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:844c3c31-a16f-4b9e-9b02-b88c3d5e573c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.500 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:aa037845-3b3a-4b74-a247-30dc1c65b9a7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.500 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:aa037845-3b3a-4b74-a247-30dc1c65b9a7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.500 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9546dcc0-0663-4863-957d-a24bdd5feb7d, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.500 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9546dcc0-0663-4863-957d-a24bdd5feb7d, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.505 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:53226272-5355-496b-abff-c2c53fdeec5c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:32.505 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:53226272-5355-496b-abff-c2c53fdeec5c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
