#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-10-29 13:34:49.398 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:12d4ca1c-18bb-4449-a4c6-1969ab15115d, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.398 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:12d4ca1c-18bb-4449-a4c6-1969ab15115d, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.414 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c10adfc3-1f0b-49d6-b1c0-f2e3549494bf, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.414 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c10adfc3-1f0b-49d6-b1c0-f2e3549494bf, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.799 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:952e9d04-fd63-4ca9-aea6-28e20891d160, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.799 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:952e9d04-fd63-4ca9-aea6-28e20891d160, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.799 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:40e3f125-2ce9-4f1c-81de-5227e4ab6aaf, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.799 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:40e3f125-2ce9-4f1c-81de-5227e4ab6aaf, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.830 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:050e36fd-ed6f-45dc-9dae-6b49f254c54d, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.846 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:050e36fd-ed6f-45dc-9dae-6b49f254c54d, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.868 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:435ed347-5a4a-4506-966f-e5ad55c9a3c8, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.868 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:435ed347-5a4a-4506-966f-e5ad55c9a3c8, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.915 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:352a08cf-4fe8-495d-8783-8bacd135688f, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.915 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:352a08cf-4fe8-495d-8783-8bacd135688f, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.100 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:25f5fc8c-6214-456e-a0d7-029a18879d3b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.100 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:25f5fc8c-6214-456e-a0d7-029a18879d3b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.100 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:98f109dc-4a3c-4c57-86c6-79c58b65578d, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.100 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:98f109dc-4a3c-4c57-86c6-79c58b65578d, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.147 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f5c5786c-591a-4c5f-8a1d-ce51877c702e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.147 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f5c5786c-591a-4c5f-8a1d-ce51877c702e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.163 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c7b0b6ec-d79d-4fe8-a4b2-16b42805c3d2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.163 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c7b0b6ec-d79d-4fe8-a4b2-16b42805c3d2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.200 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:83c34319-6c56-4ebd-807f-763c44271ccf, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.200 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:83c34319-6c56-4ebd-807f-763c44271ccf, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.332 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:ba322bc9-12b3-40c8-93aa-db5b9519c90a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.332 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:ba322bc9-12b3-40c8-93aa-db5b9519c90a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.363 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:10040c0b-de65-4705-908f-ed5b42e62977, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.363 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:10040c0b-de65-4705-908f-ed5b42e62977, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.401 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8816fffa-1615-4098-8637-dae171cd3c16, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.401 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8816fffa-1615-4098-8637-dae171cd3c16, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.448 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9701af7b-3c74-4290-afb4-dca58fb86a0b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:50.448 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9701af7b-3c74-4290-afb4-dca58fb86a0b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
