#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-10-28 08:27:09.100 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:90f22786-cf03-4e3b-bd30-6f63c38a95a7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:09.116 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:bf1a95cc-bbe4-4299-a802-64172f196daf, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-28 08:27:09.116 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:bf1a95cc-bbe4-4299-a802-64172f196daf, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:09.223 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:080fe04c-121c-4908-bd34-8dac9e65d1f2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-28 08:27:09.223 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:080fe04c-121c-4908-bd34-8dac9e65d1f2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:09.223 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:953a325c-393e-4358-82e6-33a69b92e546, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-28 08:27:09.223 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:953a325c-393e-4358-82e6-33a69b92e546, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:09.239 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:e18ba854-cef2-41fd-91cd-8046a4d09be2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-28 08:27:09.239 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:e18ba854-cef2-41fd-91cd-8046a4d09be2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:09.555 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:30ad0920-40fa-4f6a-afa9-8d186733d8aa, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
