#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-11-01 00:17:47.319 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3945c807-b6a8-4fa6-b254-3199dcfe25d9, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-01 00:17:47.324 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:94e7cf6a-7064-4df0-a315-95e3a9e37f1e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-01 00:17:47.324 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:94e7cf6a-7064-4df0-a315-95e3a9e37f1e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-01 00:17:47.374 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6cc3d3e4-af48-4141-a463-136112401997, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-01 00:17:47.374 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6cc3d3e4-af48-4141-a463-136112401997, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-01 00:17:47.419 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8facc859-e523-4540-9c06-a07644eb0727, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-01 00:17:47.419 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8facc859-e523-4540-9c06-a07644eb0727, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-01 00:17:47.494 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d215a74c-03bd-4725-ac69-62767338f430, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-01 00:17:47.494 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d215a74c-03bd-4725-ac69-62767338f430, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-01 00:17:47.749 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:03198618-3770-42c2-840a-a617ac67d5ea, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-01 00:17:47.749 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:03198618-3770-42c2-840a-a617ac67d5ea, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-01 00:17:47.749 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b1bf6574-bdfc-4546-a785-252300cfbe4c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-01 00:17:47.749 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b1bf6574-bdfc-4546-a785-252300cfbe4c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-01 00:17:48.609 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b262b787-722c-424e-ac1a-fb3fc55c2aeb, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-01 00:17:48.609 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b262b787-722c-424e-ac1a-fb3fc55c2aeb, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-01 00:17:48.614 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:5188706a-9d66-4669-b589-b31eb70b20de, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
