2020-10-20 22:31:30.541 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a3d79e76-5678-4010-8790-d126d75598b3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.561 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7310ede9-0893-4362-9447-5e730dbf7ff9, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.561 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7310ede9-0893-4362-9447-5e730dbf7ff9, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.576 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8a2a7ecb-70b9-4f48-8fa4-e370c965ff4e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.576 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8a2a7ecb-70b9-4f48-8fa4-e370c965ff4e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.776 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8f3d192f-1595-4758-b3c6-27a17883c413, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.776 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8f3d192f-1595-4758-b3c6-27a17883c413, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.781 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8daeca9e-23bc-49e3-bc57-8f5b93347bda, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.781 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8daeca9e-23bc-49e3-bc57-8f5b93347bda, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.786 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:76c72937-c5bd-43dd-91dc-a97cae6d2b9a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
