#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-10-26 20:11:02.056 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:5e42c4d7-58bf-4e0f-a0a2-8b7aa544ee92, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-26 20:11:02.416 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:e0e8abbe-764f-4f45-99b0-696e66d3d70e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-26 20:11:02.416 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:e0e8abbe-764f-4f45-99b0-696e66d3d70e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-26 20:11:02.421 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9719d2cc-73ba-421d-bf33-f86b59236340, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-26 20:11:02.421 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9719d2cc-73ba-421d-bf33-f86b59236340, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-26 20:11:02.426 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b8931d43-1eb8-450e-914c-e9fb322ac0db, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-26 20:11:02.426 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b8931d43-1eb8-450e-914c-e9fb322ac0db, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-26 20:11:02.511 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:2640f116-26d4-4ea8-8bde-89acad266a9b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-26 20:11:02.511 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:2640f116-26d4-4ea8-8bde-89acad266a9b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-26 20:11:02.526 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c45437af-62ef-4dfd-b84c-3ca83c6bb7fe, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
