#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-11-11 23:23:20.437 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:fc1dcda5-8fae-4f2a-9be4-2f5593e9dcd8, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.437 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:fc1dcda5-8fae-4f2a-9be4-2f5593e9dcd8, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.437 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d1bc83a7-7675-42ba-bef1-248886cafcf5, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.437 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d1bc83a7-7675-42ba-bef1-248886cafcf5, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.459 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3479ab41-3621-40b6-8c04-43767c8273ed, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.459 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3479ab41-3621-40b6-8c04-43767c8273ed, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.690 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:298d09d8-3478-4b6c-943e-4b8b350b3280, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.690 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:298d09d8-3478-4b6c-943e-4b8b350b3280, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.690 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d48a3f3a-9ffc-4359-915a-b91671ce7558, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.690 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d48a3f3a-9ffc-4359-915a-b91671ce7558, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.938 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:ab1882ef-ed64-4ed0-af95-d18a2a7f91a0, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.938 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:ab1882ef-ed64-4ed0-af95-d18a2a7f91a0, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.938 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:69df63b8-0731-4da6-9f97-8f5d429198da, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.938 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:69df63b8-0731-4da6-9f97-8f5d429198da, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:21.038 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c04285a3-4f3f-4d10-a032-fb36bc79b752, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
