#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 4
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-12-01 19:09:50.764 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:065ca111-a8d8-4bba-b386-9a37c7b56dcb, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-01 19:09:50.779 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8bcd6d5d-4fc5-4ec6-a383-284f1ba7f4a0, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-01 19:09:50.779 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8bcd6d5d-4fc5-4ec6-a383-284f1ba7f4a0, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-01 19:09:50.789 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:32d8a2a5-5a52-4d6c-8c25-7d99661b62c8, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-01 19:09:50.789 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:32d8a2a5-5a52-4d6c-8c25-7d99661b62c8, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-01 19:09:51.305 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c5fae2f1-5455-40ee-b355-ea6bdb0342fe, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-01 19:09:51.310 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c5fae2f1-5455-40ee-b355-ea6bdb0342fe, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-01 19:09:51.424 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d2a2908b-7b88-42cf-b334-14f2e6c99493, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-01 19:09:51.424 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d2a2908b-7b88-42cf-b334-14f2e6c99493, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-01 19:09:51.514 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:2b437183-95e4-4cf9-ac31-496b32db52ce, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-01 19:09:51.514 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:2b437183-95e4-4cf9-ac31-496b32db52ce, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-01 19:09:51.519 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7f8fb6cf-d917-40d1-ae56-f3a407de62f7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-01 19:09:51.519 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7f8fb6cf-d917-40d1-ae56-f3a407de62f7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-01 19:09:51.539 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:125681fa-2b55-433a-b521-81a4b84942be, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-01 19:09:51.539 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:125681fa-2b55-433a-b521-81a4b84942be, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-01 19:09:51.539 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:86cb0855-6452-4e63-9b5d-9311cfbee494, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-01 19:09:51.539 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:86cb0855-6452-4e63-9b5d-9311cfbee494, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-01 19:09:51.595 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:68f33b12-e675-4a2a-a6ba-21f1b760895b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-01 19:09:51.595 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:68f33b12-e675-4a2a-a6ba-21f1b760895b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
