#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-10-30 15:58:21.781 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:35b41f2c-6095-4997-8ae2-7890eb1142ea, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.786 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:0b4b5ffd-f39e-4378-bbc7-b1157b6d72ed, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.786 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:0b4b5ffd-f39e-4378-bbc7-b1157b6d72ed, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.806 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:1d30c85e-ed87-4792-b134-b11bd7223e27, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.811 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:1d30c85e-ed87-4792-b134-b11bd7223e27, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.821 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b6171b30-5458-49da-b854-4c337bf309e1, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.821 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b6171b30-5458-49da-b854-4c337bf309e1, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.892 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:ac1053f6-d367-4664-97c7-f4f34489a878, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.892 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:ac1053f6-d367-4664-97c7-f4f34489a878, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.037 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:2f3e753b-7efb-44a2-95d3-af64aa47b954, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.037 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:2f3e753b-7efb-44a2-95d3-af64aa47b954, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.037 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:2ad67d9f-1cd1-41ce-bb56-5f8e739a60e6, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.037 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:2ad67d9f-1cd1-41ce-bb56-5f8e739a60e6, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.102 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f8588466-58e1-4431-a7c0-c559133db60f, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.102 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f8588466-58e1-4431-a7c0-c559133db60f, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.102 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f176ef09-215a-4d83-b70b-99267d742c2c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:22.102 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f176ef09-215a-4d83-b70b-99267d742c2c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
