#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 4
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-12-04 20:20:13.997 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a509a530-2b48-491f-9671-e666ecc465d3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.997 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a509a530-2b48-491f-9671-e666ecc465d3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.008 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:410dcf61-98e0-43f5-819a-3800c66b8058, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.008 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:410dcf61-98e0-43f5-819a-3800c66b8058, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.037 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f48ca4c7-642d-44ff-9f28-2c6035ea7c55, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.037 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:940e8dae-2f3b-4765-9e75-ff5233eddbaa, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.037 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f48ca4c7-642d-44ff-9f28-2c6035ea7c55, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.037 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:940e8dae-2f3b-4765-9e75-ff5233eddbaa, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.069 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6a8e4ef1-38a6-4d46-82e4-a4997cfaabd7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:14.069 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6a8e4ef1-38a6-4d46-82e4-a4997cfaabd7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
